user name,post date,post stars,user comment,images
Ульяна Г.,28 Марта 2022,100%,"['        Достоинства       миниатюрная  ', '        Недостатки       нет ', '        Комментарий       не думала, что окажется такой маленькой, зато теперь буду брать только всё самое необходимое 😄 ']","['https://cdn1.ozone.ru/s3/video/cover/wc500/01FZ8CKR3X8ZX6G75QY5S86RJF.jpg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/a9cbf58b-33ae-41cc-a5c4-ecdfe7cf58fb.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/57036439-f322-4753-a697-61b1b80290b5.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/0777cdd6-48e2-4061-a6ee-e9a292ab5e1a.jpeg']"
No Name,26 Марта 2022,100%,"['        Недостатки       нет ', '        Комментарий       сумка хорошая, удобная ']",['https://cdn1.ozone.ru/s3/video/cover/wc500/01FZ24HKMS4XD9RZP8T5YXMXES.jpg']
Ольга Р.,4 Марта 2022,100%,"['        Достоинства       качество хорошее+ в подарок положили резинку для волос. ', '        Недостатки       нет ', '        Комментарий       единственное думала она будет не много боллше, но так тоже пойдет)0 ']","['https://cdn1.ozone.ru/s3/rp-photo-1/wc500/0b419260-a2a2-4bbc-ab67-fb1258380be2.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/bd20f043-8d29-4caf-95fc-91de9995a5c1.jpeg']"
No Name,28 Февраля 2022,100%,"['        Достоинства       универсальная модная сумка-шоппер ', '        Недостатки       нет ', '        Комментарий       выполнена из экокожи, закрывается на магнитную кнопку. Носится на сгибе руки или надевается на плечо. Внутри 1 основное отделение и один глубокий карман. ']","['https://cdn1.ozone.ru/s3/rp-photo-2/wc500/cc9319c2-e56c-4aac-b4ad-fdeb684ab602.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/f57f1565-ffce-4ca8-a0cd-27832b5cbede.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/79cefda9-ae3c-41d9-9142-3f2bee56fb49.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/06d24e42-5632-497a-8f8e-a2631a956849.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/ec4507d0-98d4-480b-a159-0bd1cd997048.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/92ea87e6-1de7-4a68-aa2c-fd6ce49875a1.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/75be7f3b-81a4-468d-b84a-5d378b102d1b.jpeg']"
No Name,27 Февраля 2022,60%,"['        Достоинства       Смотрится стильно. Подойдёт как к тёмным, так и к светлым вещам.  ', '        Недостатки       Маленькая  ', '        Комментарий       Внутри 1 отделение.  ']",['https://cdn1.ozone.ru/s3/video/cover/wc500/01FWYDX449QMNT0M106M1VAGJ5.jpg']
No Name,14 Февраля 2022,40%,"['        Достоинства       Форма ', '        Недостатки       Молния не в цвет, ручка ненадёжная  ', '        Комментарий       Сумка красивая по форме. Материал некачественный, тонкий. Молния не в цвет сумки, смотрится дёшево и не красиво. Ручка тончайшая, внутри ничем не проклееная, не укреплена. Своих денег не стоит.  ']",['https://cdn1.ozone.ru/s3/video/cover/wc500/01FVVJ96APQNJWKTQPGEJ7HB30.jpg']
Арина С.,28 Января 2022,20%,"['        Достоинства       Нету  ', '        Недостатки       Дешевый материал, некачественный,  маленькая короткая ручка, упаковки никакой  ', '        Комментарий       Отвратительная сумка, не понимаю почему зачеркнута цена в 5000, на алике такая стоила бы рублей 300. Похожа на одноразовую сумку, материал очень тонкий, будто крашеный кулёк, ручка короткая, на фото сумка смотрится довольно хорошей, и побольше, в жизни вообще по другому... Читать полностью']","['https://cdn1.ozone.ru/s3/rp-photo-4/wc500/6b953463-284c-4513-8c8e-f1f91c1b428a.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/6c383311-616e-4624-860e-1deae810f284.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/a5b5f7bb-c39a-4ed9-82a2-c596aacfd897.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/74627c4e-b552-4402-b059-a7db2af71d50.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/1d884979-153b-4f39-bb78-c2cd2a7beefe.jpeg']"
Алеся Р.,12 Января 2022,100%,"['        Достоинства       Вместительная, красивая  ', '        Недостатки       Слабая ручка ', '        Комментарий       Сумка понравилась. За такие деньги вообще отлично. Стильная , красивая. И цвет бомба. Из недостатков слабая цепочка на ручке. Но ее поменяю и будет радовать ещё долго меня, поэтому 5 звёзд . Способ озон  за возможность приобретать вещи за отличные цены  👍🏼 ']","['https://cdn1.ozone.ru/s3/video/cover/wc500/01FS7F03V319QEHZAJB7NVCNFJ.jpg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/73892474-c690-4dad-946e-ea951d12ea1d.jpeg']"
Анна П.,23 Декабря 2021,100%,"['        Достоинства       Интересный дизайн, компактная. Понравился, как подарок.  ', '        Недостатки       Странные ""глаза"" на замке) но забавно выгляжит ', '        Комментарий       Сумка понравилась, покупала в подарок. Внутри лежала резинка.  ']","['https://cdn1.ozone.ru/s3/video/cover/wc500/01FQM2JBV8WYG0QG2TVBVX443E.jpg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/6289bc85-030b-4661-bb92-3e0d6e122ba1.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/de170eab-0d27-497c-a070-b7f89db3fe67.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/e49e6a54-4850-46fa-9263-473715be8746.jpeg']"
Оксана С.,16 Ноября 2021,60%,"['        Достоинства       не торчат нитки  ', '        Недостатки       есть запах «клеенки», немного мятая  ', '        Комментарий       за свои деньги нормальная сумка. конечно немного мятая, но надеюсь, что со временем расправится. есть неприятный запах. в принципе вместительная, внутреннее отделение единое, без торчащих ниток. молния хорошая, не заедает ']","['https://cdn1.ozone.ru/s3/rp-photo-4/wc500/1fb8f5d4-27d5-4093-bafb-269cf55817a4.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/7a157901-2258-42fe-8d39-ee9ba0f7f44b.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/59b99b18-245b-48df-817c-4b4cd7b62b09.jpeg']"
