user name,post date,post stars,user comment,images
Ирина К.,2 Февраля 2022,100%,"['        Достоинства       очень симпатичная сумочка,отвечает всем требованиям ', '        Недостатки       нет ', '        Комментарий       шикарная сумка,легкая,удобная, а,главное,очень вместительная,много отделений,все на молнии,очень удобный боковой отдел,можно положить и документы в файлах,и большой смартфон и т.д.,в этой сумочке все предусмотрено,я давно искала именно такую. С этой сумочкой можно и в театр, и в гости.Смотрится очень... Читать полностью']","['https://cdn1.ozone.ru/s3/rp-photo-1/wc500/1f23c1ee-0070-4ab0-b4db-a95b7e8f94b5.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/62fb3eae-e77c-4b2f-9831-a740d17c4075.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/29fa78be-1d11-4a29-aa8e-ed8cd90a14c4.jpeg']"
No Name,1 Февраля 2022,100%,"['        Достоинства       Хорошая сумка, но в реальности выглядит немного громоздко ']",n/a
No Name,1 Февраля 2022,100%,"['        Достоинства       Сумка классная. Размер средний - не маленькая и не большая. Без запаха. 3 отделения. В комплекте 2 ремешка разной длины. Пользуюсь уже 2 месяца-всем довольна. Рекомендую.  ', '        Недостатки       Не выявлено ']","['https://cdn1.ozone.ru/s3/rp-photo-4/wc500/d5381020-5ddf-4a0c-b91b-ad5efb158d7a.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/68c0690a-9b7a-43b8-8c28-c07f31539191.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/a22c8f36-0cf2-4d0e-b835-5ab9a44f8d09.jpeg']"
No Name,1 Февраля 2022,100%,"['        Достоинства       Сумочка хорошего качества,удобная в пользовании,достойное внутреннее содержание,размер оптимальный,удобно носить через плечо.Хорошая сумочка на каждый день! ', '        Недостатки       нет ', '        Комментарий       Я довольна,рекомендую ']",n/a
Наталья К.,1 Февраля 2022,100%,"['        Недостатки       нет ', '        Комментарий       не большая, удобная и вместительная, кожзам мягкий, приятный на ощупь, два ремешка  ']","['https://cdn1.ozone.ru/s3/rp-photo-4/wc500/98b66140-3710-4aa9-b5be-653ff24309e1.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/8dd48840-a0c6-4681-a467-e85e8a60a9d8.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/373634e2-f2d3-4825-aaf6-cb24d94d097a.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/db4b7007-5acc-4aea-9fc1-05a6a06ad47a.jpeg']"
Ольга Ж.,1 Февраля 2022,100%,"[' Хорошая сумка,мягкая  ']","['https://cdn1.ozone.ru/s3/rp-photo-1/wc500/45ed3a1e-723b-46bd-a104-bb85c1c9a55c.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/47b2a5cd-0871-4da1-9c89-14b9b4826e4e.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/590d7bfe-f3ec-416e-815c-f1d6e024c94f.jpeg']"
Ирина К.,1 Февраля 2022,100%,"['        Достоинства       Очень вместительная, но при этом не громоздкая. Долго искала, чтоб влезал мой большой кошелёк.  ', '        Недостатки       их нет ', '        Комментарий       Ношу с удовольствием. На морозе не мерзнет. В эксплуатации  каждый день. Ничего не потрескадомь. Самый классный размер. Есть два ремня: длинный и клроткий.Спасибо продавцу. ']",['https://cdn1.ozone.ru/s3/video/cover/wc500/01FTT5M50DZPG20Z2YNAQTS2PG.jpg']
Татьяна И.,21 Января 2022,100%,"['        Достоинства       С виду сумка аккуратная, но она очень вместительная, очень много отделов, понравилась!  ']",n/a
Елена Г.,31 Декабря 2021,100%,"['        Достоинства       вместительная, мягкая ', '        Недостатки       нет ', '        Комментарий       отличная сумка. рекомендую к покупке ']",n/a
No Name,20 Декабря 2021,100%,"['        Недостатки       нет ', '        Комментарий       осень удобная и вместительная сумочка  ']",n/a
No Name,9 Декабря 2021,100%,"['        Недостатки       Нет. ', '        Комментарий       Сумка отличная, вместительна. выглядит богато. Рекомендую. ']",n/a
Елена К.,1 Декабря 2021,100%,"['        Достоинства       Цена! Качество! ', '        Недостатки       Нет ', '        Комментарий       Сумка очень мне понравилась! Вместительная, мягкая, удобная. Спасибо! ']","['https://cdn1.ozone.ru/s3/rp-photo-3/wc500/61caa8ec-071a-4c5f-909f-2e11b38f3ba4.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/579caae5-14b5-4278-b503-ef8dcacea338.jpeg']"
Людмила В.,3 Января 2022,100%,n/a,n/a
Анна В.,1 Января 2022,100%,n/a,n/a
No Name,31 Декабря 2021,100%,n/a,n/a
Вера Р.,15 Декабря 2021,100%,n/a,n/a
